timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
4h,0.1,MACD+ADX,0.0,0.46315292845508127,0.14198909947728433,0.8490612986301495,-0.5227961560653407,838,29263.058569101624,1421.538409919795
4h,0.03,MACD+MA,0.0,0.4386092330985265,0.13736491976212029,0.853148867163691,-0.3658434194570118,1586,28772.18466197053,2012.2996727855366
4h,0.05,MACD+ADX,0.0,0.44543475561483215,0.1371456470713699,0.8432765308977572,-0.5093205364985354,1126,28908.695112296642,1539.749034807055
1h,0.03,MACD+ADX+MA,0.0001,0.4443864316690007,0.13575264092311823,0.40138557226183336,-0.41091984611900856,1934,28887.728633380015,3985.1909790232394
4h,0.1,MACD+MA,0.0,0.4322628972405673,0.1355865972722976,0.8581116864789845,-0.40040775846166,1023,28645.257944811347,1757.72442181636
4h,0.05,MACD+MA,0.0,0.4321473216975349,0.13555416440779533,0.8413523503212464,-0.3677510780601353,1372,28642.946433950696,1929.3369899527977
4h,0.1,MACD+ADX,0.0001,0.43880448183503296,0.1353232527885626,0.8360603427410744,-0.5250603719526296,838,28776.08963670066,1853.5286112328395
1d,0.1,MACD+ADX+MA,0.001,0.4133860583358093,0.13513601260047348,1.2522129111756932,-0.3643698327185402,316,28267.721166716186,1956.5791941016116
4h,0.08,MACD+MA,0.0001,0.429743454853619,0.13487920643696105,0.860547306308896,-0.3675562682074047,1086,28594.86909707238,2323.8609878680136
1d,0.08,MACD+ADX+MA,0.001,0.4036853152148274,0.13227556453998535,1.2368665725628318,-0.33303121687233384,344,28073.70630429655,2039.7470642220055
1d,0.05,MACD+ADX,0.0,0.41233454454533214,0.13050648029812284,1.222833790205043,-0.36603104207947745,580,28246.69089090664,658.2631268500719
4h,0.05,MACD+ADX,0.0001,0.4188040276149254,0.12979258825046402,0.8286074783071954,-0.5118515735031961,1126,28376.08055229851,2009.7795667215662
1h,0.08,MACD+ADX,0.0,0.4194263789628576,0.12814510596084294,0.421737980494435,-0.3712414709328894,2209,28388.527579257152,3864.9142429317235
4h,0.03,MACD+MA,0.0001,0.40513852002912754,0.12792808504710784,0.8341421335454904,-0.366597830208494,1586,28102.77040058255,2580.5043638484594
1d,0.05,MACD+ADX+MA,0.001,0.38783457981682457,0.1275745949675835,1.2242828224067797,-0.3976543633786792,446,27756.69159633649,2239.436531668373
4h,0.1,MACD+MA,0.0001,0.4033840081590099,0.12742942523397538,0.8421576396973716,-0.4008111749009632,1023,28067.680163180197,2251.9991476629616
1d,0.05,MACD+ADX,0.0001,0.4015182770114214,0.1274226864668273,1.2096840976387786,-0.36612573458130215,583,28030.365540228428,882.060232076827
4h,0.05,MACD+MA,0.0001,0.4002811940163171,0.12654656982978651,0.8228086037833978,-0.3684533717932045,1372,28005.62388032634,2472.9117163855294
1d,0.03,MACD+MA,0.0,0.3838133790825673,0.12637659302449622,1.3032830679178138,-0.3967914265731469,1171,27676.267581651347,1286.2497671862293
4h,0.03,MACD+ADX,0.0,0.39827567723805557,0.12406289624391142,0.8318821935226144,-0.5469270487285174,1359,27965.51354476111,1611.1902542474716
