date,nav_mxn,cash_mxn,fees_mxn,traded_mxn,units_SPY,units_EFA,units_IEF,units_GLD
2015-07-14,594463.0644217053,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-15,599388.3186289784,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-16,605335.9075602815,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-17,609488.962433171,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-20,612928.7265586373,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-21,610842.5950839582,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-22,613394.7717465884,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-23,613689.7535941683,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-24,609498.8101780348,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-27,607033.5020756747,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-28,613962.4800045256,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-29,618325.0203636655,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-30,617606.7168025987,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-07-31,610791.9936158991,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-03,611438.9485837743,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-04,614573.0997133695,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-05,619194.4240158204,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-06,612622.2408384661,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-07,605118.3018096583,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-10,613487.9982471399,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-11,613087.9012978172,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-12,611692.2943734758,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-13,616506.4024722032,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-14,617441.9347452827,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-17,623429.580444171,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-18,621088.7651929648,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-19,622972.3560869393,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-20,616955.4608797055,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-21,605213.8768037275,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-24,586027.6348664225,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-25,582851.4712763584,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-26,596631.7402401648,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-27,605761.1254874205,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-28,601299.9105361574,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-08-31,596351.4741339135,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-01,585780.5856632642,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-02,593541.616416537,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-03,591980.1747695985,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-04,587526.6912408365,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-08,598375.1115441271,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-09,595024.3104456423,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-10,591074.9507232829,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-11,596506.509782431,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-14,590468.2369257433,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-15,596924.6135469313,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-16,596288.9512387522,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-17,596983.6705376245,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-18,589195.7680339501,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-21,592425.2391271648,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-22,593465.2325478102,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-23,600008.6538193864,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-24,589250.8144144309,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-25,592429.0522848163,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-28,581650.888327085,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-29,579531.1881813916,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-09-30,586995.19998589,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-01,588254.915557383,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-02,591372.3768158065,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-05,602671.5765547889,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-06,596249.0629924848,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-07,600872.2373743498,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-08,599724.1270472371,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-09,598302.0668190193,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-12,600845.1207318322,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-13,603552.8373076919,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-14,593091.3957882136,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-15,600284.0601157921,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-16,603806.7154325233,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-19,606829.465239563,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-20,609307.188007899,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-21,608663.3202881991,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-22,613746.2388874134,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-23,622803.2963281776,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-26,619300.3350324417,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-27,619190.5047653463,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-28,629610.8200230713,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-29,628512.3286079569,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-10-30,620563.2147999406,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-02,626393.5382321872,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-03,626502.3514065339,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-04,630577.4708935563,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-05,631659.9827209896,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-06,638300.5211680281,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-09,631576.0941346987,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-10,632864.7773622511,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-11,629170.476107289,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-12,621166.5135273093,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-13,611569.2508971185,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-16,624330.9043785958,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-17,622063.0299063894,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-18,632247.2170173285,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-19,628122.4424024092,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-20,626146.9316606309,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-23,626783.7303080036,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-24,626484.4097284727,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-25,625617.274556477,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-27,630699.0990594893,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-11-30,626008.121440843,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-01,630186.0258923703,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-02,625436.1370321547,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-03,621940.0933231772,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-04,631231.0053437094,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-07,637093.2329245161,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-08,637572.0203215325,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-09,635348.2591749149,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-10,641442.6716247114,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-11,635632.8289455227,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
