,strategy,benchmark
2022-02-15,40273.160784823165,41746.68160598928
2022-02-16,40285.46647284075,41975.932024958354
2022-02-17,40297.77592092968,41431.36795560342
2022-02-18,40310.08913023885,41359.40195435007
2022-02-21,40347.0400452749,41107.41219004686
2022-02-22,40359.36830751096,41302.59088490337
2022-02-23,40371.70033671603,40318.88096823561
2022-02-24,40384.03613404113,40578.45845782085
2022-02-25,40396.37570063765,41356.70419902047
2022-02-28,40433.40571169656,41682.92383494815
2022-03-01,42445.760363441805,43290.549830601914
2022-03-02,42458.72990133063,43816.205995336
2022-03-03,42471.70340213382,43558.45926091713
2022-03-04,42484.68086706225,43168.40847651846
2022-03-07,42523.62515785706,42144.65639179129
2022-03-08,42536.618487766405,42604.91207885378
2022-03-09,42549.61578785989,43438.98854406485
2022-03-10,42562.617059350625,42933.16979902374
2022-03-11,42575.622303452095,42497.05755873174
2022-03-14,42614.64995723026,41871.80879606225
2022-03-15,42627.671100272746,42285.79641601021
2022-03-16,42640.69622199783,42936.95215424858
2022-03-17,42653.72532362122,43401.67141526808
2022-03-18,42666.758406359,44141.1331022159
2022-03-21,42705.869601564824,44116.90877421679
2022-03-22,42718.91861727642,44589.62048678692
2022-03-23,42731.97162018725,44059.84181191152
2022-03-24,42745.02861151564,44771.00828054164
2022-03-25,42758.08959248027,44472.5471010142
2022-03-28,42797.28450794004,44764.63253565363
2022-03-29,42773.76202607386,45203.598258376995
2022-03-30,42480.81901552137,44752.66181884199
2022-03-31,42613.8887689351,44946.469986019954
2022-04-01,44713.928222356706,47024.262157242745
2022-04-04,44727.02277902821,47124.53923576937
2022-04-05,44638.339326031346,46628.85204074285
2022-04-06,44547.147031714856,45897.88305566572
2022-04-07,44519.36795063435,45825.81716181111
2022-04-08,44636.442207966364,45453.06182027377
2022-04-11,44532.955164583975,44934.968441974044
2022-04-12,44086.60267707248,44416.451374678756
2022-04-13,44233.14318507815,44817.160679852095
2022-04-14,44240.2813782929,44556.099648173935
2022-04-18,44506.557351242016,44696.28423497455
2022-04-19,45005.65667089623,45189.55022345504
2022-04-20,44558.86641512567,44681.286655982025
2022-04-21,44203.37486470341,43935.94577506954
2022-04-22,44168.02058040147,43744.096410490696
2022-04-25,44067.18663029257,43535.31359204808
2022-04-26,44185.63738432498,43372.87294528558
2022-04-27,44287.19692538085,43697.048203887185
2022-04-28,44546.079960876836,44430.337928722955
2022-04-29,44250.51297882709,43520.932526212484
2022-05-02,46664.23809189553,46063.84429385001
2022-05-03,45779.730754562486,45417.98398465348
2022-05-04,45577.11213023669,45813.150812889806
2022-05-05,45313.48578399833,44892.69988782129
2022-05-06,44867.27164180088,44408.523238238624
2022-05-09,44271.80712324983,43643.42357246875
2022-05-10,43937.26913020993,43823.30725253565
2022-05-11,43869.826740902965,43598.873333454874
2022-05-12,43774.59827970716,43400.04282706782
2022-05-13,44103.489407350244,43907.14146362996
2022-05-16,44866.81617760556,44510.36859331868
2022-05-17,45506.57949826882,45230.128036690076
2022-05-18,44556.46321697945,44016.52887766253
2022-05-19,44883.16542725039,44441.48725842714
2022-05-20,44815.5045038141,44387.46245975359
2022-05-23,45134.101930305405,44700.69624977162
2022-05-24,45020.430483610726,44357.96388970235
2022-05-25,45271.88670456007,44534.35236350073
2022-05-26,45756.57087401402,44845.1957652464
2022-05-27,46396.23908986503,45494.00069922178
2022-05-30,46345.1968000627,45510.155240632936
2022-05-31,46555.16941394063,45316.96871496763
2022-06-01,48061.1657609134,47029.768974938015
2022-06-02,47989.00152868348,47121.38675928958
2022-06-03,47978.77075855868,46797.45593957502
2022-06-06,47621.48645711481,46560.340455920516
2022-06-07,47781.382076481925,46616.69033416106
2022-06-08,47709.86631200993,46452.79789052745
2022-06-09,47641.12479846828,45939.92791603288
2022-06-10,46969.351232989146,44935.31523367381
2022-06-13,46735.69810458225,44390.935316145486
2022-06-14,46592.10274991413,44379.11895052191
2022-06-15,47004.287388235105,44977.91807624759
2022-06-16,46215.82755070779,43784.240912561036
2022-06-17,46490.37795588803,44338.35352258193
2022-06-20,46659.15405056518,44323.78859369953
2022-06-21,46461.01578862038,44541.60079274913
2022-06-22,46158.60423134935,44103.49768254443
2022-06-23,46149.64305749806,43923.16058694321
2022-06-24,46694.32070754651,44842.8271810912
2022-06-27,47199.154000941126,45151.97543036234
2022-06-28,47403.14503675452,44873.060134955165
2022-06-29,47007.990526831556,44729.613568238194
2022-06-30,46603.50739637848,44118.47603643307
2022-07-01,48760.04152606119,46171.674133579145
