date,nav,cash,equities,daily_ret
2023-02-06,259855.09013747846,8077.111143410652,251777.97899406782,0.00415221307179503
2023-02-07,257908.5636923273,8078.576241626388,249829.98745070092,-0.007490815146708685
2023-02-08,253121.08270203724,8080.041605594661,245041.04109644258,-0.0185627065722459
2023-02-09,255813.09953050537,8081.507235363675,247731.5922951417,0.010635292800311946
2023-02-10,255014.1712745306,8082.973130981645,246931.19814354897,-0.0031230936079544858
2023-02-13,257224.17572566526,8508.081360085429,248716.09436557983,0.00866620250980299
2023-02-14,254302.0666736231,8509.62463150991,245792.4420421132,-0.011360164898180702
2023-02-15,257382.5771420231,8511.168182866682,248871.40895915643,0.012113588020319144
2023-02-16,258283.7828223526,8512.71201420652,249771.0708081461,0.0035014245732423177
2023-02-17,255759.61380838967,8514.256125580208,247245.35768280947,-0.009772851343512579
2023-02-20,255701.58974284917,8515.800517038542,247185.78922581064,-0.000226869538456409
2023-02-21,252738.05346541846,8517.345188632327,244220.70827678614,-0.01158982343602577
2023-02-22,252089.02228154914,8518.890140412377,243570.13214113677,-0.00256799945623587
2023-02-23,252848.78358393794,8520.435372429512,244328.34821150842,0.00301386111744395
2023-02-24,252430.04381359628,8521.980884734567,243908.0629288617,-0.0016560877391077478
2023-02-27,252666.91308270692,8523.52667737838,244143.38640532855,0.000938356090789183
2023-02-28,251371.47356596868,8525.072750411806,242846.40081555687,-0.0051270643272322
2023-03-01,253965.40093929792,10526.981881663478,243438.41905763446,0.010319100001808579
2023-03-02,252846.2400850891,10528.891359210347,242317.34872587878,-0.004406745367949938
2023-03-03,256887.91576522955,10530.801183115227,246357.11458211433,0.015984717347508504
2023-03-06,257672.12713216856,10532.711353440942,247139.41577872762,0.0030527374734734547
2023-03-07,256360.2505677138,10534.62187025033,245825.6286974635,-0.005091262990124856
2023-03-08,256581.3556897097,10536.53273360624,246044.82295610345,0.0008624781786810143
2023-03-09,256597.42970470688,10538.44394357153,246058.98576113535,6.264685504531187e-05
2023-03-10,252203.3964548554,10540.355500209072,241663.04095464633,-0.017124229400536706
2023-03-13,248499.57767709496,47839.11990453042,200660.45777256455,-0.014685840198125244
2023-03-14,246431.49409559762,47847.79738933532,198583.6967062623,-0.008322282077213972
2023-03-15,241125.24482429094,47856.476448139554,193268.7683761514,-0.021532350362848618
2023-03-16,243808.76366610333,47865.15708122862,195943.6065848747,0.011129149267501637
2023-03-17,241430.9386752511,47873.83928888808,193557.099386363,-0.009752828221173737
2023-03-20,241439.62245776653,47882.523071403535,193557.099386363,3.596797727367651e-05
2023-03-21,246247.87310795902,47891.20842906065,198356.66467889838,0.01991491952002855
2023-03-22,245901.6584698547,47899.895362145144,198001.76310770956,-0.0014059599124031097
2023-03-23,246432.4611088661,47908.58387094278,198523.8772379233,0.0021585972307562873
2023-03-24,246209.0032540419,47917.273955739365,198291.72929830253,-0.000906771185170574
2023-03-27,242849.52548707958,47925.96561682078,194923.5598702588,-0.013644820955210801
2023-03-28,243116.34279632661,47934.658854472946,195181.68394185367,0.0010986939699053622
2023-03-29,247519.2201384242,47943.35366898183,199575.86646944238,0.01811016606886917
2023-03-30,249837.51914932387,47952.05006063345,201885.4690886904,0.009366137343205905
2023-03-31,250755.89396758509,47960.7480297139,202795.1459378712,0.003675888318888987
2023-04-03,252749.2039175984,49969.81035428707,202779.39356331134,0.007949204776303231
2023-04-04,253726.96475634357,49978.87432266522,203748.09043367836,0.0038685021499174077
2023-04-05,252699.85455161467,49987.939935146525,202711.91461646816,-0.004048092427682004
2023-04-06,252708.92180849737,49997.0071920292,202711.91461646816,3.588152790512389e-05
2023-04-10,252594.5406773999,50006.07609361153,202588.46458378836,-0.0004526200748232734
2023-04-11,253109.4196465831,50015.146640191844,203094.27300639125,0.002038361430149793
2023-04-12,251348.42346928656,50024.21883206852,201324.20463721803,-0.006957450180065994
2023-04-13,251503.0117512838,50033.29266954001,201469.7190817438,0.0006150358130896372
2023-04-14,251998.8710460118,50042.36815290479,201956.502893107,0.001971583923688236
2023-04-17,250654.449565571,50051.44528246141,200603.0042831096,-0.0053350297755712095
2023-04-18,249464.88896600346,50060.52405850848,199404.36490749498,-0.004745818802057045
2023-04-19,249943.61595878337,50069.60448134465,199874.0114774387,0.0019190155166290968
2023-04-20,250929.22404047952,50078.68655126863,200850.5374892109,0.003943321688435031
2023-04-21,249642.93108110706,50087.770268579174,199555.16081252787,-0.005126118586988304
2023-04-24,252848.2766197051,50096.85563357511,202751.42098613,0.012839720815313926
2023-04-25,252757.77032610847,50105.94264655531,202651.82767955316,-0.00035794704558245183
2023-04-26,250705.5617442986,50115.0313078187,200590.5304364799,-0.008119269999739664
2023-04-27,251673.25786630812,50124.12161766426,201549.13624864386,0.0038598909225495692
2023-04-28,256158.72231713502,51467.861534101175,204690.86078303383,0.017822570776310442
2023-05-01,258168.42079312995,53477.56001009611,204690.86078303383,0.007845520378208404
2023-05-02,258647.81249703647,53487.26024528683,205160.55225174964,0.0018568952098547697
2023-05-03,260879.41649112615,53496.962239992434,207382.45425113372,0.008627963919529469
2023-05-04,261041.80486329403,53506.66599453208,207535.13886876195,0.0006224652536870323
2023-05-05,262522.21811387705,53516.37150922498,209005.8466046521,0.005671173057351098
2023-05-08,270396.7245134594,57969.98227730536,212426.74223615407,0.029995580778487074
2023-05-09,270117.3141864916,57980.49738797955,212136.81679851204,-0.0010333347324033015
2023-05-10,270047.8111313177,57991.014405977985,212056.79672533972,-0.0002573069237832293
2023-05-11,268283.17392438353,58001.53333164663,210281.64059273692,-0.006534536234682031
2023-05-12,265712.9722255899,58012.05416533151,207700.9180602584,-0.009580182242506341
2023-05-15,266874.13554696547,58022.57690737872,208851.55863958676,0.004369991090949599
2023-05-16,264909.03790734836,58033.101558134425,206875.9363492139,-0.007363387372064323
2023-05-17,264669.2465974039,58043.628117944834,206625.61847945905,-0.0009051835748553616
2023-05-18,266589.3129523458,58054.15658715623,208535.15636518958,0.00725458805519108
2023-05-19,263869.98859020177,58064.686966114954,205805.30162408683,-0.010200425260971091
2023-05-22,259630.1665941984,58075.219255167416,201554.947339031,-0.016067844693728794
2023-05-23,258157.39882473683,58085.75345466009,200071.64537007673,-0.005672560275954086
2023-05-24,258441.02986222264,58096.2895649395,200344.74029728313,0.0010986748347212583
2023-05-25,259138.32959414844,58106.82758635225,201031.5020077962,0.0026980999584220733
2023-05-26,262448.37294461793,58117.367519244995,204331.00542537292,0.012773268067497234
2023-05-29,260886.81000637345,58127.909363964456,202758.900642409,-0.005949981402910143
2023-05-30,260126.56648782594,58138.45312085742,201988.11336696852,-0.0029140741861535258
2023-05-31,256175.03305142975,58148.99879027073,198026.03426115902,-0.015190810726289694
2023-06-01,256710.7265149425,60159.90915032908,196550.81736461344,0.002091122843361548
2023-06-02,255411.63644451724,60170.82148940551,195240.81495511174,-0.005060521186868505
2023-06-05,257484.3262412132,60181.735807859004,197302.5904333542,0.008115095402656758
2023-06-06,259572.96438611127,60192.6521060486,199380.31228006267,0.008111709848083848
2023-06-07,260086.09543030383,60203.57038433339,199882.52504597043,0.001976827769433198
2023-06-08,266062.00355889834,63740.55049959546,202321.45305930288,0.02297665362966672
2023-06-09,267279.66374771536,200332.56272629352,66947.10102142184,0.004576603094501808
2023-06-12,267790.79220194265,200368.9008272547,67421.89137468793,0.001912335742496829
2023-06-13,268392.14967023756,200405.24551954365,67986.90415069391,0.0022456241431985102
