Date,nav,benchmark,position,hurst_raw,hurst_smoothed,qqq_mxn,usd_mxn
2010-08-03,206262.4698188559,208078.3821366918,0,0.3808579162696634,0.3748946426347339,-0.003040318602636871,12.583499908447266
2010-08-04,206315.91799059865,209023.73697034124,0,0.38208663177341345,0.37780268112409693,0.004543263091253857,12.514100074768066
2010-08-05,206369.38001220496,209145.50366695478,0,0.38365283520010596,0.37998239504067033,0.0005825496107689787,12.550800323486328
2010-08-06,206422.8558872637,211062.4887286196,0,0.384834271300895,0.3818597556295397,0.009165796194774645,12.684800148010254
2010-08-09,206476.34561936464,211303.92573556336,0,0.38588811837811643,0.3834639545844388,0.0011439124422256697,12.61299991607666
2010-08-10,206529.84921209855,209181.4134259833,0,0.38713131701046577,0.3847186347325993,-0.010044831406664345,12.595999717712402
2010-08-11,206583.36666905708,206295.25653689148,0,0.3873007675555683,0.38576146188903027,-0.01379738687975296,12.769700050354004
2010-08-12,206636.89799383283,204007.1614262897,0,0.3802283589101587,0.38507656663104084,-0.011091360746787626,12.729000091552734
2010-08-13,206690.44319001932,202557.79230727744,0,0.37158222594156404,0.38242615755917464,-0.0071045011796605495,12.729000091552734
2010-08-16,206744.00226121102,201724.55010527745,0,0.3650190550925559,0.37825234490206255,-0.004113602308303155,12.654000282287598
2010-08-17,206797.5752110033,203306.27243183763,0,0.36021831759260287,0.37286974501848996,0.007841000640401496,12.593000411987305
2010-08-18,206851.1620429925,204696.3267726626,0,0.3559082112865411,0.3665912337646845,0.006837242767760765,12.628999710083008
2010-08-19,206904.76276077586,202808.83566825252,0,0.3506713650800786,0.3606798349986685,-0.009220932950625649,12.704999923706055
2010-08-20,206958.3773679516,203879.22423092357,0,0.3470714049610531,0.3557776708025663,0.005277820165695113,12.755000114440918
2010-08-23,207012.00586811875,204514.35879099273,0,0.3440739901604288,0.3515886578161409,0.0031152490523005394,12.921299934387207
2010-08-24,207065.64826487744,200895.38241806283,0,0.34161010221704785,0.34786701474102993,-0.017695463508400344,12.934000015258789
2010-08-25,207119.3045618286,203612.4210890039,0,0.3385773579803657,0.3444008440797949,0.013524644709289158,12.984000205993652
2010-08-26,207172.9747625742,202511.61315121953,0,0.3378477573915489,0.34183612254208884,-0.00540638892213352,13.071000099182129
2010-08-27,207226.65887071704,204365.13752682108,0,0.33876462872013263,0.3401747672939048,0.009152681896901882,13.031999588012695
2010-08-30,207280.35688986094,204078.71937442737,0,0.3396360927726583,0.3392871878163507,-0.0014015020167328363,13.151000022888184
2010-08-31,207334.06882361058,204258.27737104593,0,0.34237061597211144,0.3394392905673634,0.0008798467433006607,13.208000183105469
2010-09-01,207387.7946755716,207964.68752171533,0,0.34551456435857386,0.340826731843005,0.018145703559109716,13.057100296020508
2010-09-02,207441.53444935064,209915.81498648037,0,0.34309591198838396,0.34187636276237204,0.009382013302432934,13.034000396728516
2010-09-03,207495.28814855518,211773.44407519486,0,0.33572513427675127,0.34126846387369575,0.008849400360016357,12.9350004196167
2010-09-07,207549.05577679368,212348.4854896595,0,0.3259596064683602,0.3385331666128361,0.0027153613002603993,13.058099746704102
2010-09-08,207602.83733767553,214556.8097708858,0,0.32111900213090167,0.33428284384459417,0.01039952922731735,13.036999702453613
2010-09-09,207656.63283481105,214830.12533472775,0,0.319477299900503,0.32907539095298005,0.0012738610540201645,13.003000259399414
2010-09-10,207710.4422718115,214256.9160913814,0,0.3198676893618139,0.32442974642766603,-0.002668197686210183,12.920999526977539
2010-09-13,207764.2656522891,216186.2785198803,0,0.32123634404280743,0.32153198838087726,0.009004901515879293,12.857999801635742
2010-09-14,207818.10297985692,216712.9991902438,0,0.32289745298467104,0.32091955768413943,0.002436420451703558,12.835000038146973
2010-09-15,207871.9542581291,217284.5462182795,0,0.3245892595198775,0.3216136091619346,0.002637345383854628,12.788000106811523
2010-09-16,207925.81949072058,218029.6899343598,0,0.3267698716597973,0.32307212351379344,0.0034293452021745274,12.781000137329102
