,strategy,benchmark
2022-10-13,31004.867202809248,28949.007054267302
2022-10-14,31014.34091223233,28699.261946046805
2022-10-17,31042.77072473521,29271.677450304214
2022-10-18,31052.25601578999,29429.65740994358
2022-10-19,31061.744205128147,29207.356125340066
2022-10-20,31071.23529363527,29276.30034875759
2022-10-21,31080.72928219721,29746.13579105585
2022-10-24,31109.219950705894,30198.308011705263
2022-10-25,31118.72554569083,30681.784057993158
2022-10-26,31128.234045163124,30887.87565853898
2022-10-27,31137.745450010258,30603.76285055835
2022-10-28,31147.25976111998,30920.55613221276
2022-10-31,31175.811415901007,31269.417630211796
2022-11-01,33185.33735827809,33609.55750272235
2022-11-02,33195.4773224709,33392.96147277909
2022-11-03,33205.6203849861,33001.08795599824
2022-11-04,33215.7665467704,33630.63454366345
2022-11-07,33246.214332771604,33523.98224331912
2022-11-08,33256.372898262176,33567.08645087501
2022-11-09,33266.53456775887,33424.668242422966
2022-11-10,33276.69934221013,34494.78227967072
2022-11-11,33286.867222564695,35227.56663134314
2022-11-14,33317.38018418538,35001.20660084276
2022-11-15,33327.56049479721,35001.63617502189
2022-11-16,33337.74391605951,35063.67825265324
2022-11-17,33347.93044892275,34946.11057036325
2022-11-18,33358.1200943377,35029.88427681805
2022-11-21,33388.69837109084,34974.422071057146
2022-11-22,33398.90047337089,34933.44526698813
2022-11-23,33409.10569295998,35321.11731604801
2022-11-24,33419.31403081061,35352.74528957866
2022-11-25,33429.52548787558,34888.66283827091
2022-11-28,33460.1692195728,34599.84560267093
2022-11-29,33470.393160167674,34231.587142596705
2022-11-30,33480.620224744394,35227.273060859814
2022-12-01,35490.85041425751,37434.95975160355
2022-12-02,35399.03763164122,37306.59816885254
2022-12-05,35027.0852035401,37023.23004604004
2022-12-06,35273.97812428742,37262.97770754965
2022-12-07,35262.18753444592,37281.754123381696
2022-12-08,35691.33731251688,37611.733568700205
2022-12-09,35112.297399704046,37143.96729105481
2022-12-12,35112.297399704046,37315.29457586561
2022-12-13,35257.02013380121,37574.68612345362
2022-12-14,35154.48813585442,36998.51604926729
2022-12-15,34716.85556478616,36376.20412661377
2022-12-16,34986.594304234844,36302.14866279624
2022-12-19,35405.635788403764,36458.266722211934
2022-12-20,35331.69502425646,36494.727516347186
2022-12-21,35543.15354001163,36812.681899654
2022-12-22,35208.62000967555,36309.34960429272
2022-12-23,36059.9547443147,36784.6090135515
2022-12-26,36104.70967186048,36638.73414183246
2022-12-27,36257.30134313668,36596.15756215692
2022-12-28,35488.712296429425,36037.69285993897
2022-12-29,35383.85177390752,36123.48708650954
2022-12-30,34841.82574174761,35512.377879495456
2023-01-02,37283.57170892621,37838.32279264552
2023-01-03,37205.118269957806,37973.39216240731
2023-01-04,38084.34991298856,38686.208137840156
2023-01-05,38123.78941163474,38858.46048655676
2023-01-06,39292.96652967958,39681.44367511862
2023-01-09,39596.11490587486,40093.40714312829
2023-01-10,39952.95802790101,40234.58232139371
2023-01-11,40882.07051482528,40818.8035410652
2023-01-12,40941.87601394972,40958.07266155652
2023-01-13,40825.44318101918,41057.030942883626
2023-01-16,41091.81702632267,41261.19064853977
2023-01-17,40507.98602827348,40767.238902469915
2023-01-18,40297.22624456595,40706.49875143768
2023-01-19,40176.35629204645,40778.731079227065
2023-01-20,40759.920827573005,41468.211531574634
2023-01-23,41026.355438032275,41863.09704256376
2023-01-24,41256.30122241612,42053.525331655816
2023-01-25,41277.14801602918,41932.28898843757
2023-01-26,42641.508855258966,42474.2332916475
2023-01-27,42655.067401350425,42264.60737900421
2023-01-30,42228.12188210626,41651.110402145096
2023-01-31,42724.09778384018,41985.819026985744
2023-02-01,45086.43832121721,44666.663549536344
2023-02-02,43910.53042296342,44395.6257077601
2023-02-03,44308.789938990536,44423.62476872638
2023-02-06,44309.00272612308,44482.835051773625
2023-02-07,43326.63692662008,44207.18285689714
2023-02-08,42803.830696514124,43611.6006858357
2023-02-09,42833.39358673843,43424.94072539918
2023-02-10,41844.491351125704,42731.477278549624
2023-02-13,42217.56602230584,43273.519100561294
2023-02-14,41986.26331313022,43097.08600321233
2023-02-15,42779.0956893391,43505.727272455064
2023-02-16,42798.14346665282,43568.192484449304
2023-02-17,42550.7033065445,43379.966891710894
2023-02-20,42484.21885428566,43368.42596420979
2023-02-21,41281.035515894815,42653.16307220928
2023-02-22,41459.082932274716,42629.472347192896
2023-02-23,41494.302075065665,42865.20538332264
2023-02-24,41132.02148273651,42583.223967311045
2023-02-27,41406.47130010226,42874.78440899219
2023-02-28,41636.76540735081,42840.48696620944
2023-03-01,44025.9617928841,45054.29919680712
2023-03-02,44168.02339416296,45104.837093731956
2023-03-03,45465.2242752553,46070.3724329655
2023-03-06,44956.39232461256,45689.60590831384
2023-03-07,44427.58523287566,45141.577115721186
2023-03-08,44148.49901806119,45269.20240718948
2023-03-09,44300.89600305863,45029.61231842903
2023-03-10,43017.91650266004,44615.86372092994
2023-03-13,42923.97710648851,44819.829474048165
2023-03-14,42772.06298574802,45356.26809034487
2023-03-15,41530.222967776695,44913.724419934835
