Date,nav,benchmark,position,qqq_mxn,usd_mxn
2022-08-03,1958286.656188432,2678138.166760507,3,0.0487723122354069,20.810909271240234
2022-08-04,1899205.2149936827,2649520.938511829,3,-0.010685493602928475,20.492700576782227
2022-08-05,1928953.8724030743,2606205.6455203835,3,-0.016348349002206608,20.323699951171875
2022-08-08,1957412.0733903188,2610269.2956199767,3,0.0015592208184254108,20.42140007019043
2022-08-09,2005351.3396660262,2557875.8169919522,3,-0.020072058739663667,20.2406005859375
2022-08-10,1841353.3537069317,2629191.1546147414,3,0.027880688010356813,20.239999771118164
2022-08-11,1846811.2357687172,2585218.1063988446,3,-0.01672493387889107,20.015100479125977
2022-08-12,1735498.847814038,2624770.176532985,3,0.015299316539769903,19.93320083618164
2022-08-15,1686226.2954501398,2635419.8640786004,3,0.004057379057728516,19.85363006591797
2022-08-16,1694447.0691227063,2623243.701336402,3,-0.004620198439027723,19.808300018310547
2022-08-17,1762733.3179643517,2605792.0777991754,3,-0.006652688626808012,19.903539657592773
2022-08-18,1756485.1456488245,2620833.4788734796,3,0.005772295189034438,19.970399856567383
2022-08-19,1873784.031928884,2590291.684959449,3,-0.01165346602911943,20.130159378051758
2022-08-22,2026900.1593454927,2529475.556200398,3,-0.023478486655452713,20.189050674438477
2022-08-23,2027815.1928029465,2519603.364050338,3,-0.0039028612574890653,20.12689971923828
2022-08-24,1996133.864114219,2508922.464996522,3,-0.004239119222577359,19.983680725097656
2022-08-25,1884943.9654461478,2542924.6166404258,3,0.013552492003355399,19.902599334716797
2022-08-26,2117135.8960674657,2440717.1553674014,3,-0.04019287894112067,19.919099807739258
2022-08-29,2197142.9925749735,2434703.0059801624,3,-0.0024640910865124654,20.067800521850586
2022-08-30,2259603.7635209085,2397631.4977291496,3,-0.015226295839762427,19.984800338745117
2022-08-31,2319666.566875349,2400689.4047721224,3,0.0012753865829127076,20.127300262451172
2022-09-01,2322919.936980739,2408816.287906715,3,0.003385228892349934,20.186660766601562
2022-09-02,2418449.0162236392,2372458.9502785197,3,-0.015093445610910527,20.166900634765625
2022-09-06,2448044.7029402736,2331907.6252799416,3,-0.01709252967003605,19.965599060058594
2022-09-07,2321683.8647957486,2398783.6376199494,3,0.02867867132257418,20.131500244140625
2022-09-08,2267382.3674900015,2393289.593094534,3,-0.002290346006723065,19.981800079345703
2022-09-09,2117654.25838064,2439700.8630410093,3,0.019392249930968664,19.933500289916992
2022-09-12,2032601.409647186,2459484.261678574,3,0.008108944394480178,19.859100341796875
2022-09-13,2364454.739801457,2321210.1443492942,3,-0.05622077745474541,19.830020904541016
2022-09-14,2331560.0214000084,2363443.473068596,3,0.01819453047890285,20.03190040588379
2022-09-15,2438729.132778344,2314766.853074785,3,-0.020595635372066323,19.95159912109375
2022-09-16,2504514.050853773,2315534.0802986305,3,0.00033144902815007704,20.08099937438965
2022-09-19,2437151.0364955,2327664.5405345885,3,0.005238731029341359,20.03022003173828
2022-09-20,2480305.181877456,2294455.8575142096,3,-0.014266954040014657,19.903099060058594
2022-09-21,2626376.5199337904,2261659.0117966807,3,-0.014293953666670411,19.976299285888672
2022-09-22,2731988.2421311084,2241404.327932937,3,-0.008955675350747594,20.044099807739258
2022-09-23,2845452.997602788,2191171.6341183707,3,-0.022411259400436645,19.919200897216797
2022-09-26,2923610.041829765,2214098.9787921654,3,0.010463509255412395,20.211259841918945
2022-09-27,2944610.538855193,2232464.4880849076,3,0.00829480048934439,20.37074089050293
2022-09-28,2776221.267838971,2276637.32399387,3,0.01978657942588624,20.368629455566406
2022-09-29,2980281.269172049,2191068.8623396927,3,-0.037585460254190184,20.18494987487793
2022-09-30,3133345.414300184,2147472.0019731172,3,-0.019897530888199122,20.12455940246582
2022-10-03,2910031.484470358,2197068.97647802,3,0.02309551624390571,20.117389678955078
2022-10-04,2624277.2760889083,2253677.556579575,3,0.02576549972149733,20.00670051574707
2022-10-05,2616297.426189625,2247806.2471192814,3,-0.0026052127302560457,19.965190887451172
2022-10-06,2694468.1459902087,2237773.143031619,3,-0.004463509299576285,20.03380012512207
2022-10-07,3014706.602110883,2159628.440586767,3,-0.03492074372605325,20.100099563598633
2022-10-10,3098757.282454498,2130562.6205590134,3,-0.013458713305265047,20.029800415039062
2022-10-11,3199842.2680407343,2091902.7974312177,3,-0.01814535876802914,19.94029998779297
2022-10-12,3227584.868666884,2104322.545130829,3,0.005937057742291918,20.06555938720703
2022-10-13,3418142.287130855,2143760.91118147,2,0.018741597452299752,19.97319984436035
2022-10-14,3110527.6041224073,2079584.8343088953,2,-0.02993621002129654,19.97570037841797
2022-10-17,3423676.254521767,2152579.187488226,2,0.03510044503839116,20.015899658203125
2022-10-18,3501093.929289866,2164822.0123876333,2,0.0056875142947436785,19.971799850463867
2022-10-19,3534545.0033418485,2162014.297161715,3,-0.001296972781065442,20.01889991760254
2022-10-20,3617740.0513995034,2162643.1441905336,3,0.0002908616421473109,20.127410888671875
2022-10-21,3348075.0480068256,2204042.9158660076,3,0.019143135929145405,20.042760848999023
2022-10-24,3216370.5974874487,2216032.7024709377,3,0.005439906146391449,19.9325008392334
2022-10-25,3019957.1464563287,2259103.6593828453,3,0.019436065570639816,19.908100128173828
2022-10-26,3210645.6629169066,2204581.163266469,3,-0.02413457031505639,19.866600036621094
2022-10-27,3400409.784878702,2172771.3590757074,3,-0.014428955812917144,19.943029403686523
2022-10-28,3075247.9325015238,2227726.247802321,3,0.0252925318152164,19.840309143066406
2022-10-31,3177434.3739618673,2199590.0352781876,3,-0.012630013473105106,19.820199966430664
2022-11-01,3270315.4436854636,2174149.7399594127,3,-0.011565925881982575,19.79319953918457
2022-11-02,3597180.6318315477,2092380.6566432747,3,-0.037609683368756586,19.724899291992188
2022-11-03,3795974.4107242934,2046670.3532889101,3,-0.021846074331281495,19.67840003967285
2022-11-04,3618205.637866574,2078732.3034446794,3,0.015665419741018427,19.670270919799805
2022-11-07,3484328.9358045417,2090164.4946450996,3,0.005499597606423823,19.5633602142334
2022-11-08,3387238.0945023242,2092453.8686125388,3,0.0010953080359485945,19.443099975585938
2022-11-09,3643291.310253142,2054104.8299580105,3,-0.018327304238232367,19.537620544433594
2022-11-10,2844808.5382347545,2208437.8113568393,3,0.07513393627626286,19.56209945678711
2022-11-11,2647260.701112579,2220779.470469131,3,0.005588411432201124,19.315509796142578
2022-11-14,2743842.9509249777,2224015.9540816345,3,0.0014573638020076718,19.514429092407227
2022-11-15,2608691.7174914586,2234545.143041546,3,0.004734313591855166,19.33919906616211
2022-11-16,2715303.9263599925,2204273.406571078,3,-0.013547158160905903,19.34119987487793
2022-11-17,2734504.512850847,2198514.0355503047,3,-0.002612820625428891,19.33333969116211
2022-11-18,2746315.3373145354,2206160.202255035,3,0.0034778794135905677,19.399900436401367
2022-11-21,2837126.6964929225,2188338.7518805554,3,-0.008078040006461618,19.443199157714844
2022-11-22,2734191.241411315,2229950.1905029425,3,0.01901508099997229,19.531600952148438
2022-11-23,2638761.4033490373,2241987.9348263573,3,0.005398212199842822,19.441909790039062
2022-11-25,2683815.7719702264,2220296.3243612843,3,-0.009675168241595866,19.38129997253418
2022-11-28,2798086.7604433876,2183454.5304840878,3,-0.01659318779793717,19.34354019165039
2022-11-29,2856222.7584589836,2161635.050094218,3,-0.009993100421941126,19.296300888061523
2022-11-30,2458192.9656695253,2252642.990441151,3,0.04210143629146201,19.23200035095215
2022-12-01,2454656.275108555,2259259.422000146,3,0.0029371860463780486,19.264850616455078
2022-12-02,2469163.5886119665,2234310.625756244,3,-0.011042909017422331,19.128299713134766
2022-12-05,2625375.8902282845,2226061.4811620316,3,-0.0036920312239130393,19.38298988342285
2022-12-06,2837515.791935148,2217996.054434557,3,-0.003623182376465306,19.721399307250977
2022-12-07,2882536.761425602,2212637.452693937,3,-0.0024159654071098657,19.7544002532959
2022-12-08,2770140.647699122,2228906.450724262,3,0.007352762654594391,19.666900634765625
2022-12-09,2817696.250009817,2209588.064841983,3,-0.008667203541001811,19.621559143066406
2022-12-12,2736286.654345814,2256151.2957376586,3,0.021073263218864158,19.786699295043945
2022-12-13,2656998.9227042478,2287389.711328994,3,0.013845886865101242,19.847299575805664
2022-12-14,2681926.4718355443,2235508.6144942488,3,-0.02268135446172037,19.542020797729492
2022-12-15,2954657.518902164,2167897.3552345918,3,-0.030244240089834284,19.609399795532227
2022-12-16,3064848.5794882304,2162579.887260791,3,-0.0024528227597866437,19.74959945678711
2022-12-19,3198771.2690231237,2137294.9537738054,3,-0.01169202286395643,19.79690933227539
2022-12-20,3210713.890381466,2134626.635935392,3,-0.001248455592758435,19.787599563598633
2022-12-21,3069224.0147243305,2161936.567317589,3,0.012793774294036941,19.754199981689453
2022-12-22,3273857.2729210737,2098943.715461079,3,-0.02913723409316682,19.659589767456055
2022-12-23,3242039.72032707,2092954.0899530896,3,-0.0028536379817472035,19.559499740600586
2022-12-27,3348058.123576514,2042642.0748708786,3,-0.02403875714413717,19.363069534301758
2022-12-28,3501452.8792787623,2025982.1001436487,3,-0.008156091041198743,19.462099075317383
2022-12-29,3240961.5545162,2071122.1468712825,3,0.02228057529453653,19.422300338745117
2022-12-30,3255893.2429772625,2073640.0744526773,3,0.0012157310881921735,19.457599639892578
2023-01-03,3324821.3145212554,2059749.9868507069,3,-0.006698408163063996,19.458799362182617
