Datetime,nav,benchmark,position
2026-05-04 14:30:00-04:00,200610.8699861337,209817.79650724918,0
2026-05-04 15:00:00-04:00,200614.86873149697,210001.03671783773,0
2026-05-04 15:30:00-04:00,200618.86755656663,210090.40191612026,0
2026-05-05 09:30:00-04:00,200622.86646134424,211008.8022276279,0
2026-05-05 10:00:00-04:00,200626.86544583138,211061.58354618383,0
2026-05-05 10:30:00-04:00,200630.86451002967,211007.95626279543,0
2026-05-05 11:00:00-04:00,200634.8636539407,211209.32143209755,0
2026-05-05 11:30:00-04:00,200638.86287756605,211023.88117912938,0
2026-05-05 12:00:00-04:00,200642.86218090728,211066.75016038743,0
2026-05-05 12:30:00-04:00,200646.86156396603,210860.9239532824,0
2026-05-05 13:00:00-04:00,200650.86102674383,210935.01173940348,0
2026-05-05 13:30:00-04:00,200654.86056924233,211217.49230726584,0
2026-05-05 14:00:00-04:00,200658.86019146309,211252.76501108697,0
2026-05-05 14:30:00-04:00,200662.85989340767,211203.44687664637,0
2026-05-05 15:00:00-04:00,200666.85967507772,211291.1613621277,0
2026-05-05 15:30:00-04:00,200670.85953647477,211071.85824356537,0
2026-05-06 09:30:00-04:00,200674.85947760046,212056.12947845526,0
2026-05-06 10:00:00-04:00,200678.85949845635,211644.1759249458,0
2026-05-06 10:30:00-04:00,200682.85959904402,212363.24295850092,0
2026-05-06 11:00:00-04:00,200686.8597793651,212799.39080623296,0
2026-05-06 11:30:00-04:00,200690.86003942115,212902.47128336978,0
2026-05-06 12:00:00-04:00,200694.86037921376,212965.09119928646,0
2026-05-06 12:30:00-04:00,200698.8607987445,212705.20210663148,0
2026-05-06 13:00:00-04:00,200702.86129801502,212897.97641053612,0
2026-05-06 13:30:00-04:00,200706.86187702685,213040.74434976085,0
2026-05-06 14:00:00-04:00,200710.8625357816,213321.70816007294,0
2026-05-06 14:30:00-04:00,200714.86327428085,213212.78189664308,0
2026-05-06 15:00:00-04:00,200718.86409252623,213587.09948529047,0
2026-05-06 15:30:00-04:00,200722.86499051927,213779.17324605116,0
2026-05-07 09:30:00-04:00,200726.8659682616,213861.55310660793,0
2026-05-07 10:00:00-04:00,200730.86702575482,214629.6008111744,0
2026-05-07 10:30:00-04:00,200734.86816300047,214992.17285598864,0
2026-05-07 11:00:00-04:00,200738.8693800002,214672.0673861207,0
2026-05-07 11:30:00-04:00,200742.87067675553,214226.34819056402,0
2026-05-07 12:00:00-04:00,200746.8720532681,213839.3751580554,0
2026-05-07 12:30:00-04:00,200750.8735095395,213647.53446812124,0
2026-05-07 13:00:00-04:00,200754.8750455713,213337.96090181408,0
2026-05-07 13:30:00-04:00,200758.8766613651,213884.58525054267,0
2026-05-07 14:00:00-04:00,200762.87835692248,213495.5346278817,0
2026-05-07 14:30:00-04:00,200766.88013224505,213389.59211382692,0
2026-05-07 15:00:00-04:00,200770.88198733437,213336.32718940766,0
2026-05-07 15:30:00-04:00,200774.88392219206,214001.7538281657,0
2026-05-08 09:30:00-04:00,200778.8859368197,216243.74508385352,0
2026-05-08 10:00:00-04:00,200782.88803121884,216652.63064760252,0
2026-05-08 10:30:00-04:00,200786.89020539113,216753.85138838735,0
2026-05-08 11:00:00-04:00,200790.89245933815,216901.65021179433,0
2026-05-08 11:30:00-04:00,200794.89479306148,216968.55400515828,0
2026-05-08 12:00:00-04:00,200798.8972065627,217409.1699361381,0
2026-05-08 12:30:00-04:00,200802.8996998434,217528.43191326584,0
2026-05-08 13:00:00-04:00,200806.9022729052,217926.08843361284,0
2026-05-08 13:30:00-04:00,200810.90492574964,217525.41593523827,0
2026-05-08 14:00:00-04:00,200814.90765837836,217563.34101233035,0
2026-05-08 14:30:00-04:00,200818.9104707929,217215.43588228364,0
2026-05-08 15:00:00-04:00,200822.9133629949,217270.08267058159,0
2026-05-08 15:30:00-04:00,200826.91633498593,217904.88731903845,0
2026-05-11 09:30:00-04:00,200830.91938676758,217424.69474061194,0
2026-05-11 10:00:00-04:00,200834.92251834142,217337.53834481034,0
2026-05-11 10:30:00-04:00,200838.9257297091,218076.90377322197,0
2026-05-11 11:00:00-04:00,200842.92902087214,218436.5718875993,0
2026-05-11 11:30:00-04:00,200846.93239183218,218874.4034897209,0
2026-05-11 12:00:00-04:00,200850.93584259078,218965.81650689957,0
2026-05-11 12:30:00-04:00,200854.93937314957,218685.46155902388,0
2026-05-11 13:00:00-04:00,200858.9429835101,218815.39952807192,0
2026-05-11 13:30:00-04:00,200862.94667367396,218761.4187381907,0
2026-05-11 14:00:00-04:00,200866.95044364277,218808.69183156456,0
2026-05-11 14:30:00-04:00,200870.9542934181,218293.8869832257,0
2026-05-11 15:00:00-04:00,200874.95822300154,218291.05594812476,0
2026-05-11 15:30:00-04:00,200878.9622323947,218676.49529160382,0
2026-05-12 09:30:00-04:00,200882.96632159915,217209.70753459795,0
2026-05-12 10:00:00-04:00,200886.97049061648,216797.50291194062,0
2026-05-12 10:30:00-04:00,200890.9747394483,216389.31049772713,0
2026-05-12 11:00:00-04:00,200894.9790680962,215551.93896126788,0
2026-05-12 11:30:00-04:00,200898.98347656176,215016.97624648127,0
2026-05-12 12:00:00-04:00,200902.98796484657,215027.1506038506,0
