Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ
2004-05-26,206422.8558872637,203203.83441205352,206422.85588726358,0.0
2004-05-27,206476.34561936464,203601.7495183692,206476.34561936453,0.0
2004-05-28,206529.84921209855,204382.20255906438,206529.84921209843,0.0
2004-06-01,206583.36666905708,205338.4923826097,206583.366669057,0.0
2004-06-02,206636.89799383283,204674.0036026408,206636.8979938327,0.0
2004-06-03,206690.44319001932,201689.1796412274,206690.4431900192,0.0
2004-06-04,206744.00226121102,202262.67378517578,206744.00226121096,0.0
2004-06-07,206797.5752110033,205941.98667187244,206797.57521100322,0.0
2004-06-08,206851.1620429925,205928.7089742611,206851.16204299242,0.0
2004-06-09,206904.76276077586,203849.99875173837,206904.7627607758,0.0
2004-06-10,206958.3773679516,205298.83482647367,206958.37736795147,0.0
2004-06-14,207012.00586811875,203702.0578333602,207012.00586811866,0.0
2004-06-15,207065.64826487744,205092.51406675135,207065.64826487735,0.0
2004-06-16,207119.3045618286,204289.44237186006,207119.30456182853,0.0
2004-06-17,207172.9747625742,202076.8865359371,207172.97476257413,0.0
2004-06-18,207226.65887071704,202229.3422896853,207226.65887071696,0.0
2004-06-21,207280.35688986094,200176.65395212892,207280.35688986085,0.0
2004-06-22,207334.06882361058,203345.29717472653,207334.0688236105,0.0
2004-06-23,207387.7946755716,205948.59656916783,207387.79467557155,0.0
2004-06-24,207441.53444935064,205305.69270421957,207441.53444935058,0.0
2004-06-25,207495.28814855518,207315.30270312412,207495.2881485551,0.0
2004-06-28,207549.05577679368,208209.30889633912,207549.05577679363,0.0
2004-06-29,207602.83733767553,210526.2379685913,207602.83733767545,0.0
2004-06-30,207656.63283481105,212351.45241544422,207656.63283481097,0.0
2004-07-01,207710.4422718115,209139.73217191035,207710.44227181142,0.0
2004-07-02,207764.2656522891,206379.83176111546,207764.26565228903,0.0
2004-07-06,207818.10297985692,202464.50823603861,207818.10297985683,0.0
2004-07-07,207871.9542581291,203282.99539475224,207871.954258129,0.0
2004-07-08,207925.81949072058,201608.60856201928,207925.8194907205,0.0
2004-07-09,207979.69868124733,201312.19189349093,207979.69868124725,0.0
2004-07-12,208033.59183332624,200450.05931847228,208033.59183332618,0.0
2004-07-13,208087.49895057513,199680.03194683167,208087.49895057507,0.0
2004-07-14,208141.42003661272,197157.28346724814,208141.42003661263,0.0
