,strategy,benchmark
2022-09-30,28883.82093996377,26255.09612969785
2022-10-03,30910.297775825406,28734.186525144993
2022-10-04,30919.742589034686,29297.57647102025
2022-10-05,30929.190288159112,29180.571992857673
2022-10-06,30938.640874080495,29443.965300282493
2022-10-07,30948.094347680908,29042.642288454932
2022-10-10,30976.463434166282,28747.189029069614
2022-10-11,30985.928464660054,28768.992027401568
2022-10-12,30995.396387246477,28809.07460015329
2022-10-13,31004.867202809248,28949.006025476105
2022-10-14,31014.34091223233,28699.262402463708
2022-10-17,31042.77072473521,29271.677409726944
2022-10-18,31052.25601578999,29429.65759767531
2022-10-19,31061.744205128147,29207.356901010266
2022-10-20,31071.23529363527,29276.29964091481
2022-10-21,31080.72928219721,29746.136098152907
2022-10-24,31109.219950705894,30198.307695716678
2022-10-25,31118.72554569083,30681.784167474627
2022-10-26,31128.234045163124,30887.876910793166
2022-10-27,31137.745450010258,30603.76244788363
2022-10-28,31147.25976111998,30920.556529158595
2022-10-31,31175.811415901007,31269.41926572141
2022-11-01,33185.33735827809,33609.55728318379
2022-11-02,33195.4773224709,33392.96152047351
2022-11-03,33205.6203849861,33001.087316599675
2022-11-04,33215.7665467704,33630.63435193904
2022-11-07,33246.214332771604,33523.98298875655
2022-11-08,33256.372898262176,33567.08604455126
2022-11-09,33266.53456775887,33424.66868966287
2022-11-10,33276.69934221013,34494.783305034434
2022-11-11,33286.867222564695,35227.566767975455
2022-11-14,33317.38018418538,35001.20680884921
2022-11-15,33327.56049479721,35001.637303370786
2022-11-16,33337.74391605951,35063.67774564897
2022-11-17,33347.93044892275,34946.11209532943
2022-11-18,33358.1200943377,35029.884882118175
2022-11-21,33388.69837109084,34974.42239681
2022-11-22,33398.90047337089,34933.44593550385
2022-11-23,33409.10569295998,35321.11861017734
2022-11-24,33419.31403081061,35352.74725073598
2022-11-25,33429.52548787558,34888.66516573198
2022-11-28,33460.1692195728,34599.84641346444
2022-11-29,33470.393160167674,34231.58791619676
2022-11-30,33480.620224744394,35227.27339192534
2022-12-01,35490.85041425751,37434.96115490578
2022-12-02,35501.69484077298,37306.59830837567
2022-12-05,35534.23806104369,37023.22979627143
2022-12-06,35545.095744895676,37262.97881390554
2022-12-07,35555.95674637328,37281.75411291287
2022-12-08,35566.82106649023,37611.735302824
2022-12-09,35577.688706260546,37143.96764690282
2022-12-12,35610.30158757462,37315.295120782204
2022-12-13,35621.18251305971,37574.68681291735
2022-12-14,35632.066763272036,36998.51563717824
2022-12-15,35642.95433922748,36376.20476831741
2022-12-16,35653.84524194225,36302.14812883054
2022-12-19,35686.52793341403,36458.26643740423
2022-12-20,35697.43215028257,36494.727653311136
2022-12-21,35708.33969899516,36812.68206162722
2022-12-22,35719.25058056985,36309.350580554084
2022-12-23,35730.16479602503,36784.60926679365
2022-12-26,35762.917447088046,36638.733934679745
2022-12-27,35773.845005196876,36596.1572627331
2022-12-28,35784.7759022818,36037.6923514332
2022-12-29,35795.71013936305,36123.48659010558
2022-12-30,35806.64771746119,35512.378886026505
2023-01-02,37839.47047786886,37838.322482327385
2023-01-03,37851.03253829265,37973.39357801302
2023-01-04,37862.598131568244,38686.207954135
2023-01-05,37874.16725877511,38858.46089294563
2023-01-06,37885.739920993066,39681.44432158549
