Date,nav,benchmark,position,entropy_raw,entropy_smoothed,qqq_mxn,usd_mxn
2023-03-09,1666260.0348980627,2104917.826582282,0,0.9166109248919362,0.9201403634311577,-0.024348484140199633,17.97075080871582
2023-03-10,1666691.8078356772,2116803.9260134264,0,0.9173359602535096,0.9193219100795023,0.005646823491653352,18.329639434814453
2023-03-13,1667123.6926573107,2131035.661797425,0,0.9148978615717641,0.9172233038767501,0.006723218720970925,18.31702995300293
2023-03-14,1667555.6893919557,2251659.685135403,0,0.9114221822560552,0.9155367531931325,0.056603474780068996,18.91908073425293
2023-03-15,1667987.7980686116,2225357.1259974963,0,0.9168423049006856,0.9154218467747901,-0.011681409633767625,18.600500106811523
2023-03-16,1668420.0187162857,2332080.281006181,0,0.9410761887227418,0.9203148995409514,0.04795776541297703,18.991899490356445
2023-03-17,1668852.3513639928,2293865.4590573814,0,0.9475192968538336,0.926351566861016,-0.016386580796571848,18.769390106201172
2023-03-20,1669284.796040755,2311085.37811022,0,0.9514819624275721,0.9336683870321776,0.00750694378558503,18.843420028686523
2023-03-21,1669717.3527756021,2340508.171589507,0,0.9483252089542952,0.9410489923718256,0.012731158164025036,18.814599990844727
2023-03-22,1670150.0215975714,2285300.3452007473,0,0.9483252089542952,0.9473455731825476,-0.023587965664425004,18.62405014038086
2023-03-23,1670582.8025357076,2308589.350360578,0,0.9520322682787538,0.9495367890937499,0.010190785298194616,18.593360900878906
2023-03-24,1671015.6956190632,2313912.403506379,0,0.9505013208167188,0.950133193886327,0.0023057600716080984,18.567899703979492
2023-03-27,1671448.700876698,2280627.969120018,0,0.9505013208167188,0.9499370655641564,-0.014384483326129183,18.427059173583984
2023-03-28,1671881.8183376791,2255162.4930037144,0,0.9505013208167188,0.9503722879366411,-0.011165993077831837,18.318599700927734
2023-03-29,1672315.0480310817,2283822.7931743152,0,0.9472149661589038,0.9501502393775627,0.012708751701713261,18.219200134277344
2023-03-30,1672748.3899859881,2289601.044276599,0,0.9460029445393009,0.9489443746296722,0.0025300785680715254,18.094030380249023
2023-03-31,1673181.8442314884,2327102.0148594654,0,0.9429059145393797,0.9474252933742043,0.016378823147643606,18.089550018310547
2023-04-03,1673615.4107966803,2314979.1973285084,0,0.9475201250835485,0.9468290542275704,-0.005209405283287172,18.03915023803711
2023-04-04,1674049.0897106684,2313362.2709835162,0,0.9487321467031513,0.9464752194048568,-0.0006984625809416389,18.087570190429688
2023-04-05,1674482.8810025656,2293680.829894604,0,0.9417742299537027,0.9453870721638167,-0.008507721136363333,18.112499237060547
2023-04-06,1674916.7847014922,2334171.000406346,0,0.944871259953624,0.9451607352466812,0.017652922753686795,18.308799743652344
2023-04-10,1675350.8008365755,2310666.8509979597,0,0.944871259953624,0.9455538043295302,-0.010069591904061093,18.134700775146484
2023-04-11,1675784.929436951,2296900.9693034873,0,0.9411642006291656,0.9442826194386535,-0.005957536322697021,18.14310073852539
2023-04-12,1676219.1705317614,2278592.802910455,0,0.9402570494094551,0.9425875999799143,-0.007970812254297632,18.158899307250977
