Date,NAV,Capital
2021-02-09,115691.34229323211,103000.0
2021-02-10,116198.04609626265,103000.0
2021-02-11,116937.7695495539,103000.0
2021-02-12,117276.56919459428,103000.0
2021-02-16,118906.31147457915,103000.0
2021-02-17,117682.64027157388,103000.0
2021-02-18,117279.71335357492,103000.0
2021-02-19,117405.6030744554,103000.0
2021-02-22,115629.72372890556,103000.0
2021-02-23,116094.44424878995,103000.0
2021-02-24,117810.6661250089,103000.0
2021-02-25,113226.59621430715,103000.0
2021-02-26,113829.172192961,103000.0
2021-03-01,117744.40588017151,104000.0
2021-03-02,115897.85578301034,104000.0
2021-03-03,113170.10605306421,104000.0
2021-03-04,110710.89679037883,104000.0
2021-03-05,111978.82634822775,104000.0
2021-03-08,107745.48301048284,104000.0
2021-03-09,111589.25818163616,104000.0
2021-03-10,111612.09654072174,104000.0
2021-03-11,114589.06047987906,104000.0
2021-03-12,113970.00056122817,104000.0
2021-03-15,115999.55276939274,104000.0
2021-03-16,116804.73086156571,104000.0
2021-03-17,117850.16434739318,104000.0
2021-03-18,115060.28301267828,104000.0
2021-03-19,116745.55856963582,104000.0
2021-03-22,117228.17939208078,104000.0
2021-03-23,116328.81986867652,104000.0
2021-03-24,114315.23986363717,104000.0
2021-03-25,113852.88079099909,104000.0
2021-03-26,116518.80318850194,104000.0
2021-03-29,116467.67333480707,104000.0
2021-03-30,115453.16861414985,104000.0
2021-03-31,117025.24899909666,104000.0
2021-04-01,120714.25107692313,105000.0
2021-04-05,122695.67294562754,105000.0
2021-04-06,121970.56187213525,105000.0
2021-04-07,123353.75300680683,105000.0
2021-04-08,124129.24806092323,105000.0
2021-04-09,124435.05378137706,105000.0
2021-04-12,125413.95344732392,105000.0
2021-04-13,125810.63269382296,105000.0
2021-04-14,123161.3207572482,105000.0
2021-04-15,125577.19617198015,105000.0
2021-04-16,125131.41244791937,105000.0
2021-04-19,123122.37105300433,105000.0
2021-04-20,121762.19958572769,105000.0
2021-04-21,120834.45153388448,105000.0
2021-04-22,118798.04907853351,105000.0
2021-04-23,120856.42321536818,105000.0
2021-04-26,121928.60257675861,105000.0
2021-04-27,121424.28179529024,105000.0
2021-04-28,121289.90686749057,105000.0
2021-04-29,124051.94509878664,105000.0
2021-04-30,122530.31740119017,105000.0
2021-05-03,122455.53100517247,106000.0
2021-05-04,121197.73745642579,106000.0
2021-05-05,121188.39320242761,106000.0
2021-05-06,122667.37135173198,106000.0
2021-05-07,123565.66010610631,106000.0
2021-05-10,120071.30964561438,106000.0
2021-05-11,120239.82429731391,106000.0
2021-05-12,117411.40321732697,106000.0
2021-05-13,118394.53061468719,106000.0
2021-05-14,120909.49577875983,106000.0
2021-05-17,120916.41755889633,106000.0
2021-05-18,119551.5787023271,106000.0
2021-05-19,119530.43833954826,106000.0
2021-05-20,120713.18648196854,106000.0
2021-05-21,120433.35589263335,106000.0
2021-05-24,122426.1393972754,106000.0
2021-05-25,122626.37277087293,106000.0
2021-05-26,122767.51030620153,106000.0
2021-05-27,123636.0717770164,106000.0
2021-05-28,122468.22282313874,106000.0
2021-06-01,123948.58181038167,107000.0
2021-06-02,124041.48217038366,107000.0
2021-06-03,123748.84196186047,107000.0
2021-06-04,125114.73605823614,107000.0
2021-06-07,125223.91524455117,107000.0
2021-06-08,124676.44083498261,107000.0
2021-06-09,124098.7531170817,107000.0
2021-06-10,124465.00308712356,107000.0
2021-06-11,124218.36431705649,107000.0
2021-06-14,124646.56496739513,107000.0
2021-06-15,123969.5427808695,107000.0
2021-06-16,123111.77562968273,107000.0
2021-06-17,123533.1188549923,107000.0
2021-06-18,121497.06011334245,107000.0
2021-06-21,123113.33687840206,107000.0
2021-06-22,124363.61791149303,107000.0
2021-06-23,124625.52491737364,107000.0
2021-06-24,125270.51263026825,107000.0
2021-06-25,125504.0219693176,107000.0
2021-06-28,127274.73497680416,107000.0
2021-06-29,127111.49791043744,107000.0
2021-06-30,126665.97011785084,107000.0
2021-07-01,128608.30365201547,108000.0
2021-07-02,129694.19142062748,108000.0
2021-07-06,129160.85071700477,108000.0
2021-07-07,129570.58165623428,108000.0
2021-07-08,128431.7056943312,108000.0
2021-07-09,130339.18072639525,108000.0
2021-07-12,130905.96695711103,108000.0
2021-07-13,130502.13815764847,108000.0
2021-07-14,130405.06844862942,108000.0
2021-07-15,130029.32459665579,108000.0
2021-07-16,128894.92561987312,108000.0
2021-07-19,127270.10646665317,108000.0
2021-07-20,128800.3916220098,108000.0
2021-07-21,130072.25342811472,108000.0
2021-07-22,130743.43266317225,108000.0
2021-07-23,133938.36676753112,108000.0
2021-07-26,134530.10038788343,108000.0
2021-07-27,133646.39743352818,108000.0
2021-07-28,134780.25834827826,108000.0
2021-07-29,133804.84583362265,108000.0
