Date,nav,benchmark,position,qqq_mxn,usd_mxn,rsi,srp,support,resistance,smooth
2022-09-01,4937669.586701341,2408814.3285572785,0,0.003385124136039863,20.186660766601562,37.749692831084104,0.3993859333093151,276.95501708984375,315.072998046875,286.07369553657344
2022-09-02,4938949.070129959,2372457.0134000606,0,-0.015093448559397094,20.166900634765625,34.82856582708763,0.2910900284216004,276.95501708984375,315.072998046875,283.13756095002657
2022-09-06,4940228.885107258,2331906.2156157554,0,-0.017092321401511956,19.965599060058594,33.432280139201964,0.2368151795364477,276.95501708984375,315.072998046875,280.1647039620368
2022-09-07,4941509.031719153,2398782.438437526,0,0.028678778920837367,20.131500244140625,40.59446312266362,0.38837836755934513,276.95501708984375,315.072998046875,281.0678446464569
2022-09-08,4942789.510051578,2393288.395367533,0,-0.0022903465449628513,19.981800079345703,42.343533287660875,0.4280597253912974,276.95501708984375,315.072998046875,283.4176108817709
2022-09-09,4944070.320190492,2439699.3882146077,0,0.019392143853999455,19.933500289916992,49.1746633657996,0.59626275969737,276.95501708984375,315.072998046875,288.86100727022153
2022-09-12,4945351.462221875,2459482.527378886,0,0.008108842941816574,19.859100341796875,52.53890683234913,0.0,303.2452697753906,315.072998046875,294.7791972409414
2022-09-13,4946632.936231729,2321208.494000285,0,-0.056220782965253346,19.830020904541016,39.42016536091013,-1.4059333644674137,303.2452697753906,315.072998046875,293.4576978740214
2022-09-14,5094808.803742296,2363442.044340638,1,0.018194638891558368,20.03190040588379,41.56866057348504,-1.2136872985852916,303.2452697753906,315.072998046875,292.5362976492313
2022-09-15,4818937.32348863,2314765.7024392476,1,-0.020595530158206365,19.95159912109375,38.460599625270355,-1.6204488983953909,303.2452697753906,315.072998046875,290.7093441711563
2022-09-16,4755468.814181513,2315532.1799731525,1,0.00033112531998247263,20.08099937438965,37.37400695321078,-1.7673174721534892,303.2452697753906,315.072998046875,288.7191936292612
2022-09-19,4857209.326499794,2327663.3830821468,1,0.005239056150424526,20.03022003173828,39.69632121757752,-1.58142121056529,303.2452697753906,315.072998046875,288.3547543071444
2022-09-20,4711423.5226166705,2294454.718552415,1,-0.014266953190524956,19.903099060058594,38.12574505373724,-1.7731822040348737,303.2452697753906,315.072998046875,287.1727644781967
2022-09-21,4469141.04126563,2261657.3956238544,1,-0.014294168746660785,19.976299285888672,34.81956940559931,-2.2005180986193498,303.2452697753906,315.072998046875,284.0623016525254
2022-09-22,4318365.995130806,2241403.2227987475,1,-0.008955455792861056,20.044099807739258,32.75469003102941,-2.4889865340802073,303.2452697753906,315.072998046875,280.868514030918
2022-09-23,4086281.6416619867,2191170.557793727,1,-0.022411257597058754,19.919200897216797,30.232015140396896,-2.8658955391399252,303.2452697753906,315.072998046875,276.86797817796037
