Date,nav,benchmark,position,mu_est,vol_est,prob_bull,qqq_mxn,usd_mxn
2010-07-09,214012.72346551335,202690.58242626596,1,0.001382800636065311,0.016745122181916504,0.8348608151272157,0.00950242406856816,12.765899658203125
2010-07-12,215525.68596530973,204123.5030737257,1,0.0013955030326419048,0.01610294430468695,0.8313837237777785,0.007069497903194444,12.81879997253418
2010-07-13,215835.93475792653,204417.3384469421,1,0.0014920691123662647,0.015891173779984537,0.8414828829425125,0.0014394979940661745,12.67300033569336
2010-07-14,217461.71759696968,205957.11078013884,1,0.0015525092743449611,0.015314682600398739,0.8508221916844252,0.007532493793800166,12.704000473022461
2010-07-15,218654.8633154527,207087.13425109244,1,0.0015605292687628958,0.014683042853808746,0.8505343643109393,0.005486693159916678,12.762499809265137
2010-07-16,202769.7410986124,203715.97699360654,2,0.0012441055937250146,0.016470043275207118,0.8023322729307383,-0.016278931425060872,12.911499977111816
2010-07-19,203595.33681895494,205136.2017340324,1,0.0012983670694623967,0.016111554854695204,0.8213210917650358,0.006971592318801845,12.891039848327637
2010-07-20,203836.11244504174,205378.79961558164,1,0.0013878778197492613,0.015832382458787035,0.8231251503845947,0.0011826185699965741,12.752300262451172
2010-07-21,202614.05878789682,204147.4971237922,1,0.0012420366485949921,0.015835976065673975,0.7981560819840506,-0.00599527553035728,12.851900100708008
2010-07-22,206107.1234951991,207666.99829539502,1,0.001462414339323289,0.016624438882692376,0.8358884748167213,0.017239991776478503,12.750699996948242
2010-07-23,207111.98548956134,208679.46535879176,1,0.0015043544869778125,0.016040016989893175,0.83412902878385,0.004875435537217809,12.732199668884277
2010-07-26,207835.08283709027,209408.03530382906,1,0.0015849468714308188,0.015546748811277666,0.8549789535207576,0.003491335114284677,12.672100067138672
2010-07-27,207758.6553266997,209331.029369241,1,0.001595367562510905,0.015025007010857294,0.8518641573176968,-0.0003677315174478446,12.672900199890137
2010-07-28,206629.53616284812,208193.36472428116,1,0.0015034390399685789,0.014723497694086905,0.8330000000000003,-0.00543476353404404,12.705289840698242
2010-07-29,201267.816397825,206818.7562769201,2,0.001425065112695103,0.01433137929682789,0.8329190519431444,-0.006602556470430843,12.715290069580078
2010-07-30,201330.81425613837,205929.86782483372,2,0.0014558043577833797,0.01371806204221266,0.8356918222438428,-0.004297910248025061,12.633000373840332
2010-08-02,211067.44599589513,208712.84750049995,2,0.0016632554172547412,0.014084161426691704,0.8654073429630699,0.013514210954738592,12.567790031433105
2010-08-03,209146.71315698436,208078.19617807347,2,0.001609441463153886,0.013603750077528835,0.8575694459430893,-0.003040787043188442,12.583499908447266
2010-08-04,214000.8785231102,209023.53106504638,2,0.0017268815784534687,0.013282656528711469,0.8754842048674367,0.0045431712901042864,12.514100074768066
2010-08-05,213361.44369428066,209145.33661099366,2,0.0016897001556379892,0.01279006772147756,0.8692760818340294,0.0005827360456818198,12.550800323486328
2010-08-06,214628.10037381633,211062.24106337965,2,0.0016664142856580727,0.012300827319865086,0.8647495258325893,0.009165418093693312,12.684800148010254
2010-08-09,217144.8259370005,211303.85531181307,2,0.0017672717280896404,0.011846432831208113,0.8830000000000003,0.001144753543865118,12.61299991607666
2010-08-10,212254.99194905173,209181.3247694328,2,0.0015795538031197068,0.011802812209636422,0.854004604402647,-0.010044921041540533,12.595999717712402
2010-08-11,197469.39167524045,206295.1707276838,2,0.001185830088269342,0.01404428129915856,0.7756940661625943,-0.013797379115607966,12.769700050354004
2010-08-12,191292.04295413222,204007.0572095719,2,0.0010627598498574341,0.013751905211094182,0.7512843820815261,-0.01109145458927041,12.729000091552734
2010-08-13,187481.07754548825,202557.6494507562,2,0.0009344538787683539,0.013398450281835518,0.7208588743736816,-0.0071046942132338975,12.729000091552734
2010-08-16,187430.08097497642,201724.34869396145,2,0.0009136808539252129,0.012873326352124544,0.7178905853429652,-0.00411389428665998,12.654000282287598
2010-08-17,193621.50333234662,203306.12904744095,2,0.001081248430534212,0.012839598613783641,0.7449286359501268,0.007841296123747732,12.593000411987305
2010-08-18,195919.90990426546,204696.2414335136,2,0.001113270335808075,0.012365633312802451,0.7624646416552585,0.0068375330964483005,12.628999710083008
2010-08-19,189850.99320855958,202808.59366665874,2,0.0008905749755783769,0.012720524968154026,0.7216059632058289,-0.009221702135981724,12.704999923706055
2010-08-20,189943.0240097204,203879.10031394658,2,0.0008625745452331328,0.012226371881231332,0.7201837479550979,0.005278408710073457,12.755000114440918
2010-08-23,187109.4449591002,204514.17429340497,2,0.0006954552271887349,0.012134559350249425,0.6876142938771077,0.0031149538058607984,12.921299934387207
2010-08-24,176546.64487796446,200895.22058360555,2,0.0004735460892919542,0.012840030714320806,0.6200000000000001,-0.01769536865746779,12.934000015258789
2010-08-25,182542.86414797217,203612.37863003864,2,0.0005807391009013331,0.01265996331677844,0.6550524312460279,0.013525249821970231,12.984000205993652
2010-08-26,177768.4280344195,202511.53141869605,2,0.00041123123471348375,0.012642421656362295,0.6031472614090634,-0.005406582933461079,13.071000099182129
2010-08-27,183101.57600555383,204365.09491089312,2,0.0005797468903507848,0.012653745968737706,0.6535016832906839,0.009152878748246662,13.031999588012695
2010-08-30,178786.714470687,204078.59593369713,2,0.00041923244985694815,0.0125419392449274,0.6155281172053435,-0.0014018978011920424,13.151000022888184
2010-08-31,178672.02808338986,204258.0715834929,2,0.0003249619177678151,0.012107534829809035,0.5929992415875319,0.0008794437700565538,13.208000183105469
2010-09-01,191435.10647939736,207964.5611940655,2,0.0008406659266367314,0.01405700740385404,0.7083451147891869,0.01814611085788842,13.057100296020508
2010-09-02,197654.2539906648,209915.6466344511,2,0.0009721051757524114,0.013869658329475867,0.732854517192101,0.009381816926802955,13.034000396728516
2010-09-03,206143.7576046917,211773.3753269379,2,0.0011819813045496317,0.013986718089122772,0.7744877902980938,0.00884988195149572,12.9350004196167
2010-09-07,203039.53457557847,212348.2950407005,2,0.0010711983675657595,0.013661194615801215,0.7583574862826677,0.0027147875075184125,13.058099746704102
2010-09-08,209871.19627330906,214556.63814106176,2,0.001223407935995338,0.013492881166809625,0.7756911538760437,0.010399627178254489,13.036999702453613
2010-09-09,211972.27877555758,214829.95356511333,2,0.0012575270612564975,0.013039379449361937,0.7853775263879206,0.001273861421485778,13.003000259399414
2010-09-10,212902.3948816173,214256.80524413695,2,0.0013041201579749861,0.012646768827673752,0.7912124654791717,-0.0026679162354456,12.920999526977539
2010-09-13,221203.45362095037,216186.12605169145,2,0.001520505319179463,0.012617095177965417,0.8341265957773498,0.009004711917346642,12.857999801635742
2010-09-14,223604.51792455863,216712.9063389873,2,0.001592323079163985,0.012181369260921275,0.8410000000000003,0.0024366979367116404,12.835000038146973
2010-09-15,226569.00908681637,217284.41289843642,2,0.001710731587569407,0.011790493068102528,0.8511810545824928,0.002637159775593423,12.788000106811523
2010-09-16,229637.71702663193,218029.5959021045,2,0.0017883604734982815,0.011366697898313453,0.8654595951072663,0.003429528118137126,12.781000137329102
2010-09-17,232046.28461152132,218733.86159957977,2,0.001864534346036023,0.010946363043038972,0.8720866376260432,0.003230138067088273,12.779000282287598
2010-09-20,244096.91324335767,222527.61110208055,2,0.002152748413139377,0.011321882817221223,0.9060676296264747,0.017344134441542147,12.777000427246094
2010-09-21,241994.55703225336,221263.16644074308,2,0.002153369307193935,0.010950817363504594,0.908410470650795,-0.0056821922235862354,12.706999778747559
2010-09-22,239330.28992039576,219284.6318887983,2,0.0020622261911317583,0.010664578667978751,0.8959160085067917,-0.008941996916032813,12.626999855041504
2010-09-23,238916.2378403392,219472.35604808645,2,0.002022467711504815,0.010294555152971672,0.8945123456925419,0.000856075310299742,12.642999649047852
2010-09-24,250608.20831717257,222307.17095105347,2,0.0023695072239719546,0.011035014444230589,0.9280959296547171,0.012916500984506252,12.550999641418457
2010-09-27,248134.20429603476,221450.86662798616,2,0.0022141296137857835,0.010918108654466966,0.9124048716759681,-0.0038518969919141277,12.571000099182129
2010-09-28,247075.6370012989,219864.35466234662,2,0.0021699909222593254,0.010562125287091308,0.9096819051839494,-0.0071641714019783365,12.486000061035156
