Date,NAV
2023-02-21,141578.21126288862
2023-02-22,141603.4930863284
2023-02-23,141628.77942437952
2023-02-24,141654.07027784816
2023-02-27,141679.36564754063
2023-02-28,141704.6655342634
2023-03-01,142729.96993882308
2023-03-02,142755.457433455
2023-03-03,142780.94947942527
2023-03-06,142800.5218943506
2023-03-07,142239.53502362405
2023-03-08,142785.60940959962
2023-03-09,142078.05707598518
2023-03-10,141523.0468580121
2023-03-13,141662.16095150757
2023-03-14,142868.88767641384
2023-03-15,142408.36252369382
2023-03-16,144379.91921296026
2023-03-17,142652.25201644542
2023-03-20,144186.12641170254
2023-03-21,145104.44815530468
2023-03-22,144616.5241550852
2023-03-23,146878.09287939398
2023-03-24,146431.81686121706
2023-03-27,144907.1475358233
2023-03-28,144404.70275380887
2023-03-29,145900.99843818852
2023-03-30,146407.243300349
2023-03-31,147571.85932068218
2023-04-03,149002.99145701193
2023-04-04,148654.5274910684
2023-04-05,147432.1121755368
2023-04-06,148201.28171670524
2023-04-10,148000.62708451448
2023-04-11,147873.58101623197
2023-04-12,147892.99014480415
2023-04-13,147919.39960733
2023-04-14,147945.8137858313
2023-04-17,147972.2326811502
2023-04-18,147998.65629412897
2023-04-19,148025.08462561006
2023-04-20,148051.51767643605
2023-04-21,148077.9554474497
2023-04-24,148104.39793949388
2023-04-25,148130.84515341165
2023-04-26,148157.29709004617
2023-04-27,148183.7537502408
2023-04-28,148210.21513483906
2023-05-01,149733.50876829738
2023-05-02,149045.5208056826
2023-05-03,148068.7851611107
2023-05-04,147449.89857482197
2023-05-05,147335.9686576445
2023-05-08,148046.1284762307
2023-05-09,147315.65040817205
2023-05-10,148172.66939554655
2023-05-11,149066.73250419376
2023-05-12,148349.8278086888
2023-05-15,148478.54124455052
2023-05-16,148667.73529433447
2023-05-17,152119.91563017564
2023-05-18,160116.2961149167
2023-05-19,159067.91425472914
2023-05-22,158320.65710412434
2023-05-23,157315.46259041643
2023-05-24,157782.67205278476
2023-05-25,171175.3535149791
2023-05-26,172400.76396298577
2023-05-30,175971.101428542
2023-05-31,173129.42623344535
2023-06-01,175604.2317736129
2023-06-02,175259.66978791452
2023-06-05,175114.60888467723
2023-06-06,174643.70064240217
2023-06-07,175275.65962528755
2023-06-08,176624.1928649388
2023-06-09,178215.86774452406
2023-06-12,178766.42242357862
2023-06-13,180814.90695128625
2023-06-14,181314.1595848387
2023-06-15,182589.62282947457
2023-06-16,180663.69541742874
2023-06-20,181366.37428329984
2023-06-21,179367.43794974443
2023-06-22,178650.37222329748
2023-06-23,179382.58177270595
2023-06-26,177482.7009047998
2023-06-27,177503.95784482258
2023-06-28,177535.654980152
2023-06-29,177567.35777568416
2023-06-30,177599.0662324298
2023-07-03,179079.55470971455
2023-07-05,178707.86920577794
2023-07-06,178149.74925225257
2023-07-07,178629.16750607218
2023-07-10,178978.91341189021
2023-07-11,179920.37400957523
