Date,strategy
2019-04-24,262204.5628132149
2019-04-25,262272.507090801
2019-04-26,262340.4689745829
2019-04-29,262408.44846912276
2019-04-30,262476.445578984
2019-05-01,262544.46030873124
2019-05-02,262612.4926629303
2019-05-03,262680.5426461481
2019-05-06,262748.61026295286
2019-05-07,262816.69551791385
2019-05-08,262884.7984156016
2019-05-09,262952.9189605879
2019-05-10,263021.0571574455
2019-05-13,263089.2130107486
2019-05-14,263157.38652507245
2019-05-15,263225.5777049934
2019-05-16,263293.78655508923
2019-05-17,263362.01307993865
2019-05-20,263430.25728412165
2019-05-21,263498.5191722195
2019-05-23,263566.7987488145
2019-05-24,263635.09601849027
2019-05-28,263703.4109858316
2019-05-29,263771.74365542433
2019-05-30,263075.15597525495
2019-05-31,255507.90865348096
2019-06-03,239534.67913077003
2019-06-04,222352.72790437113
2019-06-05,214695.49942534795
2019-06-06,211647.76396550826
2019-06-07,198854.27856735777
2019-06-10,188039.45702277898
2019-06-11,186368.9932832078
2019-06-12,188130.4903904567
2019-06-13,188179.2400770539
2019-06-14,188228.0023960104
2019-06-17,188276.77735059953
2019-06-18,188325.56494409553
2019-06-19,188374.3651797735
2019-06-20,188423.17806090938
2019-06-21,188472.00359077993
2019-06-24,188520.8417726628
2019-06-25,188569.69260983643
2019-06-26,188618.55610558018
2019-06-27,188667.4322631742
2019-06-28,188169.18553233633
2019-07-01,195297.22788223857
2019-07-02,197285.65097507436
2019-07-03,201065.38145440968
2019-07-05,199764.79650201576
2019-07-08,195466.90999589916
2019-07-09,197757.0307807973
2019-07-10,206048.29754658137
2019-07-11,205156.35110944675
2019-07-12,207930.46484947408
2019-07-15,208814.90362302872
2019-07-16,205618.0007282741
2019-07-17,203888.08992188147
2019-07-18,204429.50339441898
2019-07-19,198424.14513769152
2019-07-22,203701.42425952264
2019-07-23,207927.29637694656
2019-07-24,213191.26636436032
2019-07-25,213246.50997425552
2019-07-26,213301.76789926077
2019-07-29,213357.04014308547
2019-07-30,213412.32670944
2019-07-31,213467.62760203576
2019-08-01,213522.942824585
2019-08-02,213578.27238080106
2019-08-05,213633.61627439817
2019-08-06,213688.9745090915
2019-08-07,213744.34708859722
2019-08-08,213799.7340166325
2019-08-09,213855.13529691537
2019-08-12,213910.55093316492
2019-08-13,213965.98092910118
2019-08-14,214021.4252884451
2019-08-15,214076.88401491867
2019-08-16,214132.35711224476
2019-08-19,214187.84458414727
2019-08-20,214243.34643435103
2019-08-21,214298.86266658184
2019-08-22,214354.3932845665
2019-08-23,214409.9382920327
2019-08-26,214465.49769270915
2019-08-27,214521.07149032556
2019-08-28,214576.65968861253
2019-08-29,214632.26229130168
2019-08-30,214687.87930212557
2019-09-03,214743.51072481775
2019-09-04,214799.15656311272
2019-09-05,214854.81682074594
2019-09-06,214910.49150145386
2019-09-09,214966.18060897387
2019-09-10,215021.88414704436
2019-09-11,215077.60211940468
2019-09-12,215133.33452979513
2019-09-13,215189.08138195702
2019-09-16,215244.8426796326
2019-09-17,215300.61842656505
2019-09-18,215356.4086264986
2019-09-19,215412.2132831784
2019-09-20,215468.03240035058
2019-09-23,215523.86598176227
2019-09-24,215579.7140311615
2019-09-25,215635.57655229737
2019-09-26,215691.45354891985
2019-09-27,215747.34502477993
2019-09-30,215803.2509836296
2019-10-01,215859.1714292218
2019-10-02,215915.1063653104
2019-10-03,215971.05579565032
2019-10-04,216027.01972399736
2019-10-07,216082.99815410838
2019-10-08,216138.99108974118
2019-10-09,216194.9985346545
2019-10-10,216251.02049260814
2019-10-11,216307.05696736276
2019-10-14,216363.1079626801
2019-10-15,216419.17348232283
2019-10-16,216475.25353005456
2019-10-17,216531.34810963992
2019-10-18,216587.45722484452
2019-10-21,216643.5808794349
2019-10-22,216699.71907717868
2019-10-23,216755.8718218443
2019-10-24,216812.03911720132
2019-10-25,216868.22096702017
2019-10-28,216924.41737507234
2019-10-29,216980.62834513024
2019-10-30,217036.8538809673
