Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ,HEDGE_USD,SCORE
2007-10-18,223705.84137695745,238326.49205375116,207012.00586811866,0.4559539146248456,0.0,3
2007-10-19,216205.08427364175,232714.03714167772,207065.64826487735,0.4369335713410802,0.0,2
2007-10-22,217853.05171328835,236094.71050777548,207119.30456182853,0.20311711147996095,0.0,1
2007-10-23,217887.37847626614,241148.68793058474,207172.97476257413,0.0,0.0,2
2007-10-24,217048.1493251385,239633.4065699619,207226.65887071696,0.1786705954501592,0.0,2
2007-10-25,215401.01768206654,235661.04007575003,207280.35688986085,0.17217558570999877,0.0,2
2007-10-26,217116.0115201064,238572.09880601752,207334.0688236105,0.17850173242519238,0.0,2
2007-10-29,217417.78816386673,238302.68596584015,207387.79467557155,0.17942939796776938,0.0,3
2007-10-30,218046.0951925428,239407.15052512073,207441.53444935058,0.33822795356788105,0.0,2
2007-10-31,219294.16007581013,240720.26634007235,207495.2881485551,0.17291638073961255,0.0,3
2007-11-01,215297.7747251197,236661.08396039283,207549.05577679363,0.32200517351033037,0.0,1
2007-11-02,215318.90068952012,238882.299448548,207602.83733767545,0.0,0.0,2
2007-11-05,214781.5753462094,238206.37641450402,207656.63283481097,0.1608111054524611,0.0,1
2007-11-06,214819.9614167938,240545.21708883854,207710.44227181142,0.0,0.0,2
2007-11-07,212671.22905946538,237208.64171450562,207764.26565228903,0.15121772445031742,0.0,1
2007-11-08,212710.25808400492,229520.73776407188,207818.10297985683,0.0,0.0,1
2007-11-09,212765.3770516751,223695.35400946584,207871.954258129,0.0,0.0,1
2007-11-12,213189.17404716666,219153.80018407488,207925.8194907205,0.0,0.35,0
2007-11-13,212508.89691449187,225962.78297427643,207979.69868124725,0.0,0.35,2
2007-11-14,211811.64939178168,224563.55942688053,208033.59183332618,0.1018643684204993,0.0,1
2007-11-15,211855.74747574682,223894.083275469,208087.49895057507,0.0,0.0,0
2007-11-16,211910.6450166602,225940.61648335427,208141.42003661263,0.0,0.0,2
2007-11-19,211261.06746126435,224538.17012590752,208195.35509505865,0.10587407684312805,0.0,0
2007-11-20,211304.62736929383,224846.6149504489,208249.30412953367,0.0,0.0,1
2007-11-21,211359.3821001161,222737.64903160124,208303.26714365932,0.0,0.0,1
2007-11-23,211292.35334039712,224824.20853324956,208357.24414105806,0.0,0.35,1
2007-11-26,211341.14762016953,220944.95441616888,208411.23512535336,0.0,0.35,0
2007-11-27,211228.0792423657,224872.41878134033,208465.24010016955,0.0,0.35,1
2007-11-28,211053.2384121938,231013.40017735725,208519.259069132,0.0,0.35,2
2007-11-29,211335.77334874863,231877.2490314126,208573.292035867,0.10374542415126621,0.0,2
2007-11-30,210860.2081766454,229915.04315546725,208627.3390040017,0.1014912820481655,0.0,2
2007-12-03,210366.2237642185,228025.78988761696,208681.39997716426,0.09914801884695752,0.0,2
2007-12-04,210107.0934446188,226624.17445861566,208735.47495898372,0.09780325266797846,0.0,2
2007-12-05,211185.18663658598,229947.5543287738,208789.56395309017,0.1021763462995542,0.0,2
2007-12-06,212102.42940282376,232706.48204619638,208843.66696311455,0.10582736505184524,0.0,2
2007-12-07,212109.06912480586,232268.8503940721,208897.7839926887,0.10562365863541615,0.0,2
2007-12-10,212426.24700074192,233274.4323406177,208951.91504544552,0.10672765882693733,0.0,2
2007-12-11,211050.17807343675,229619.9474160456,209006.06012501882,0.1006704508541582,0.0,2
2007-12-12,211650.79122270842,230338.75392267844,209060.2192350433,0.13034850092871622,0.0,2
2007-12-13,211255.10648258252,229220.31076578549,209114.39237915463,0.12849385525525625,0.0,2
2007-12-14,210439.41813094402,226735.49447860642,209168.57956098934,0.12488908710671634,0.0,2
2007-12-17,208654.09054832597,222086.60989710892,209222.7807841851,0.11717258411442981,0.0,1
2007-12-18,208695.9341840477,222380.55805575132,209276.99605238042,0.0,0.0,1
2007-12-19,208750.0129320724,222141.13822368035,209331.2253692146,0.0,0.0,1
2007-12-20,208716.12720257827,226474.32842543922,209385.46873832814,0.0,0.35,2
2007-12-21,210471.37266888868,230911.84936536133,209439.7261633623,0.14890656263142377,0.0,2
2007-12-24,211174.7049557527,232373.40046123203,209493.99764795942,0.15152138275745128,0.0,2
2007-12-26,211703.69466195774,233655.31496560914,209548.28319576263,0.15342218473460426,0.0,2
2007-12-27,210744.90170781506,232156.11043863275,209602.58281041618,0.14935027352012553,0.0,2
2007-12-28,210748.26151402856,232378.29205974555,209656.89649556504,0.14914341202579012,0.0,2
2007-12-31,209690.49116200046,229687.62794607098,209711.2242548554,0.14462972796078602,0.0,2
2008-01-02,208303.4382588956,226190.2641369832,209765.5660919341,0.13871085486943405,0.0,1
2008-01-03,208342.96832663834,226519.8029718371,209819.9220104492,0.0,0.0,1
2008-01-04,208396.95561168488,217659.49553722685,209874.29201404954,0.0,0.0,0
2008-01-07,208214.12097126537,215982.66500773886,209928.6761063849,0.0,0.35,0
2008-01-08,208497.09789242342,211055.97572593368,209983.07429110614,0.0,0.35,1
2008-01-09,208523.20558112257,215489.02873620082,210037.48657186492,0.0,0.35,1
2008-01-10,208593.41086909996,215869.03238346998,210091.9129523139,0.0,0.35,1
2008-01-11,208583.44558366787,211472.15586173863,210146.35343610673,0.0,0.35,1
2008-01-14,208384.16184084347,214428.6130435795,210200.80802689787,0.0,0.35,1
2008-01-15,208793.64118213224,209548.62376434772,210255.27672834296,0.0,0.35,1
2008-01-16,208790.39047885136,207152.00020581958,210309.75954409837,0.0,0.35,0
2008-01-17,208904.1567744768,204456.18636657242,210364.2564778215,0.0,0.35,0
2008-01-18,208564.5826963186,203103.1917933868,210418.7675331707,0.0,0.35,0
2008-01-22,208921.46334132776,198699.90526186128,210473.29271380533,0.0,0.35,0
2008-01-23,208755.48788045565,197355.5754471048,210527.83202338553,0.0,0.35,0
2008-01-24,208595.7332268735,200818.3741868832,210582.38546557253,0.0,0.35,0
2008-01-25,208670.7934631785,196776.97101440775,210636.9530440285,0.0,0.35,0
2008-01-28,208698.81278269412,198243.1102216398,210691.5347624165,0.0,0.35,0
2008-01-29,208599.04801867632,198198.66322019993,210746.13062440054,0.0,0.35,0
2008-01-30,208616.9130713456,197937.8951244409,210800.7406336457,0.0,0.35,0
2008-01-31,208504.0232554282,200884.22697184424,210855.36479381783,0.0,0.35,0
2008-02-01,208325.3609699841,202301.24414960336,210910.00310858386,0.0,0.35,1
2008-02-04,208445.85755909304,199659.32169870913,210964.6555816116,0.0,0.35,0
2008-02-05,208786.1527768554,194750.393231818,211019.32221656985,0.0,0.35,0
2008-02-06,208655.57785320797,190448.15066956053,211074.00301712836,0.0,0.35,0
2008-02-07,208592.9102501607,191491.72812146947,211128.69798695782,0.0,0.35,0
